record_set,v2_n_records,v3_n_records,overlap_n,overlap_gm_ids,v2_only_gm_ids,v3_only_gm_ids
FF22,5,10,2,BOL090;CHY059-V,B-ICC000;ILA027-E;PEL180,184057;CHY104-W;H-E11140;HWA055-W;JOS090;LOS270;PEL090;TAP100-E
FFext,5,10,2,CHY059-V;STM090,CHY104-N;DZC270;TCU117-E,ABBAR--T;ARC000;CH12000;H-DLTDWN;ILA027-E;ILA027-N;PEL180;STM360
NF28,5,10,2,NF8208252;NF8211652,NF8207231;NF8207532;NF8210861,NF8201262;NF8201601;NF8201811;NF8202922;NF8208022;NF8208211;NF8210631;NF8215041
