run_id,specimen_id,gm_id,analysis_protocol_id,im_grid_id,im_type,im_level,im_value,scale_factor,converged,analysis_status,gm_file,dt,npts,opensees_returncode,edp_max_drift_ratio,edp_residual_drift_ratio,steel_tube_eps_t_max,steel_tube_eps_c_min,concrete_core_eps_c_min,record_set
S02/184327/P1/G3fine_r36/SaT1/5,S02,184327,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,184327.AT2,0.01,2949,0,0.012542812499999998,0.0035897499999999996,0.00277268,-0.00277268,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/6,S02,184327,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,184327.AT2,0.01,2949,0,0.01409546875,0.002880340625,0.00316084,-0.00316084,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/7,S02,184327,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,184327.AT2,0.01,2949,0,0.015801,0.002054334375,0.00358019,-0.00358019,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/8,S02,184327,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,184327.AT2,0.01,2949,0,0.01800778125,0.00146340625,0.00411228,-0.00411228,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/9,S02,184327,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,184327.AT2,0.01,2949,0,0.02056075,0.001312021875,0.00471322,-0.00471322,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/10,S02,184327,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,184327.AT2,0.01,2949,0,0.02331521875,0.002200596875,0.00535019,-0.00535019,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/11,S02,184327,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,184327.AT2,0.01,2949,0,0.026064249999999997,0.004619875,0.00598122,-0.00598122,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/0,S03,184327,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,184327.AT2,0.01,2949,0,0.003917057142857143,0.0034264,0.000839374,-0.000839374,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/1,S03,184327,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,184327.AT2,0.01,2949,0,0.007729628571428572,0.006265342857142857,0.00166359,-0.00166359,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/2,S03,184327,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,184327.AT2,0.01,2949,0,0.009547914285714287,0.0055776,0.00208343,-0.00208343,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/3,S03,184327,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,184327.AT2,0.01,2949,0,0.010017542857142857,0.004232885714285714,0.00219631,-0.00219631,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/4,S03,184327,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,184327.AT2,0.01,2949,0,0.010747971428571429,0.0031140857142857143,0.00237039,-0.00237039,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/5,S03,184327,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,184327.AT2,0.01,2949,0,0.011518914285714287,0.0034828000000000003,0.00256957,-0.00256957,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/6,S03,184327,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,184327.AT2,0.01,2949,0,0.012030114285714285,0.006648314285714286,0.00270394,-0.00270394,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/7,S03,184327,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,184327.AT2,0.01,2949,0,0.013081657142857143,0.007667342857142857,0.00296349,-0.00296349,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/8,S03,184327,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,184327.AT2,0.01,2949,0,0.01448062857142857,0.007038857142857144,0.00331482,-0.00331482,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/9,S03,184327,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,184327.AT2,0.01,2949,0,0.0156606,0.0066965714285714285,0.00361234,-0.00361234,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/10,S03,184327,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,184327.AT2,0.01,2949,0,0.017783228571428573,0.0072157428571428565,0.00412061,-0.00412061,0.0,FF22
S03/184327/P1/G3fine_r36/SaT1/11,S03,184327,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,184327.AT2,0.01,2949,0,0.020724114285714284,0.007825285714285713,0.00482974,-0.00482974,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/0,S04,184327,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,184327.AT2,0.01,2949,0,0.004174857142857143,0.0010863035714285714,0.000782785,-0.000782785,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/1,S04,184327,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,184327.AT2,0.01,2949,0,0.008354285714285715,0.0022586000000000004,0.00156952,-0.00156952,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/2,S04,184327,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,184327.AT2,0.01,2949,0,0.012543857142857145,0.0052007500000000005,0.0024182,-0.0024182,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/3,S04,184327,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,184327.AT2,0.01,2949,0,0.015568464285714286,0.008634214285714287,0.00307592,-0.00307592,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/4,S04,184327,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,184327.AT2,0.01,2949,0,0.017861107142857144,0.009914178571428572,0.00357527,-0.00357527,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/5,S04,184327,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,184327.AT2,0.01,2949,0,0.019399000000000003,0.009020535714285714,0.00390764,-0.00390764,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/6,S04,184327,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,184327.AT2,0.01,2949,0,0.018625035714285715,0.008085892857142857,0.00374385,-0.00374385,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/7,S04,184327,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,184327.AT2,0.01,2949,0,0.02176325,0.00947625,0.00443362,-0.00443362,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/8,S04,184327,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,184327.AT2,0.01,2949,0,0.02480914285714286,0.012847321428571428,0.00506696,-0.00506696,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/9,S04,184327,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,184327.AT2,0.01,2949,0,0.024467357142857145,0.012643928571428572,0.00497544,-0.00497544,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/10,S04,184327,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,184327.AT2,0.01,2949,0,0.030762571428571427,0.008726285714285714,0.00627416,-0.00627416,0.0,FF22
S04/184327/P1/G3fine_r36/SaT1/11,S04,184327,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,184327.AT2,0.01,2949,0,0.061075357142857147,0.016867535714285717,0.0124679,-0.0124679,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/0,S05,184327,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,184327.AT2,0.01,2949,0,0.002566775,0.001604735,0.000529396,-0.000529396,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/1,S05,184327,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,184327.AT2,0.01,2949,0,0.00513065,0.003203175,0.00105822,-0.00105822,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/2,S05,184327,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,184327.AT2,0.01,2949,0,0.007501175,0.004409425,0.00155121,-0.00155121,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/3,S05,184327,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,184327.AT2,0.01,2949,0,0.0096061,0.003895625,0.00201053,-0.00201053,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/4,S05,184327,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,184327.AT2,0.01,2949,0,0.010890225,0.002201175,0.00231355,-0.00231355,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/5,S05,184327,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,184327.AT2,0.01,2949,0,0.0116989,0.00016413025,0.0025041,-0.0025041,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/6,S05,184327,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,184327.AT2,0.01,2949,0,0.012043325,0.002399835,0.00258297,-0.00258297,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/7,S05,184327,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,184327.AT2,0.01,2949,0,0.012093,0.00373265,0.00260038,-0.00260038,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/8,S05,184327,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,184327.AT2,0.01,2949,0,0.013257825,0.0035925,0.00287992,-0.00287992,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/9,S05,184327,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,184327.AT2,0.01,2949,0,0.014109675,0.0057545,0.00308375,-0.00308375,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/10,S05,184327,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,184327.AT2,0.01,2949,0,0.014403775,0.007568825,0.00316134,-0.00316134,0.0,FF22
S05/184327/P1/G3fine_r36/SaT1/11,S05,184327,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,184327.AT2,0.01,2949,0,0.016257625,0.008384475,0.0036013,-0.0036013,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/0,S01,A-TMZ270,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0027999199999999996,0.0017880933333333333,0.000559984,-0.000559984,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/1,S01,A-TMZ270,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.005599933333333334,0.0035654999999999997,0.00112011,-0.00112011,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/2,S01,A-TMZ270,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,A-TMZ270.AT2,0.005,7269,0,0.008400366666666667,0.004731266666666667,0.00168726,-0.00168726,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/3,S01,A-TMZ270,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,A-TMZ270.AT2,0.005,7269,0,0.011038366666666667,0.0027891500000000002,0.00225849,-0.00225849,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/4,S01,A-TMZ270,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,A-TMZ270.AT2,0.005,7269,0,0.013208266666666668,0.0013463833333333334,0.00276815,-0.00276815,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/5,S01,A-TMZ270,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0165531,0.004043,0.00355974,-0.00355974,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/6,S01,A-TMZ270,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,A-TMZ270.AT2,0.005,7269,0,0.018977499999999998,0.0037508666666666666,0.0041286,-0.0041286,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/7,S01,A-TMZ270,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,A-TMZ270.AT2,0.005,7269,0,0.019499266666666668,0.00180842,0.00426058,-0.00426058,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/8,S01,A-TMZ270,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,A-TMZ270.AT2,0.005,7269,0,0.021448666666666668,0.0014173666666666667,0.00463608,-0.00463608,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/9,S01,A-TMZ270,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,A-TMZ270.AT2,0.005,7269,0,0.02384,0.0019420799999999999,0.00516186,-0.00516186,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/10,S01,A-TMZ270,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.025858000000000003,0.00240647,0.00560253,-0.00560253,0.0,FF22
S01/A-TMZ270/P1/G3fine_r36/SaT1/11,S01,A-TMZ270,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.027531533333333334,0.0027329033333333332,0.00596746,-0.00596746,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/0,S02,A-TMZ270,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0036106562499999997,0.0001901165625,0.000761627,-0.000761627,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/1,S02,A-TMZ270,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.00721315625,0.0003081865625,0.00152447,-0.00152447,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/2,S02,A-TMZ270,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,A-TMZ270.AT2,0.005,7269,0,0.010327906249999998,0.00039333125,0.00222814,-0.00222814,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/3,S02,A-TMZ270,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,A-TMZ270.AT2,0.005,7269,0,0.012246687499999999,0.0004205875,0.0026853,-0.0026853,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/4,S02,A-TMZ270,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,A-TMZ270.AT2,0.005,7269,0,0.014710656249999999,0.0031113562499999995,0.00329141,-0.00329141,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/5,S02,A-TMZ270,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,A-TMZ270.AT2,0.005,7269,0,0.01604053125,0.0031830937499999997,0.0036225,-0.0036225,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/6,S02,A-TMZ270,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,A-TMZ270.AT2,0.005,7269,0,0.016987343749999998,0.002503825,0.00385894,-0.00385894,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/7,S02,A-TMZ270,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,A-TMZ270.AT2,0.005,7269,0,0.01775471875,0.001481675,0.00402833,-0.00402833,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/8,S02,A-TMZ270,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0204421875,0.0005246406249999999,0.00466247,-0.00466247,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/9,S02,A-TMZ270,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,A-TMZ270.AT2,0.005,7269,0,0.02324425,0.0029624343749999997,0.00531036,-0.00531036,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/10,S02,A-TMZ270,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0261219375,0.00531909375,0.0059709,-0.0059709,0.0,FF22
S02/A-TMZ270/P1/G3fine_r36/SaT1/11,S02,A-TMZ270,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.029004968750000002,0.00613065625,0.00663136,-0.00663136,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/0,S03,A-TMZ270,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.005813,0.0015758742857142857,0.00124611,-0.00124611,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/1,S03,A-TMZ270,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.009947457142857144,0.0031582285714285715,0.00217629,-0.00217629,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/2,S03,A-TMZ270,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,A-TMZ270.AT2,0.005,7269,0,0.011177828571428572,0.003108,0.00248739,-0.00248739,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/3,S03,A-TMZ270,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0119018,0.002931028571428571,0.00265869,-0.00265869,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/4,S03,A-TMZ270,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,A-TMZ270.AT2,0.005,7269,0,0.013667257142857143,0.0015033514285714286,0.00308559,-0.00308559,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/5,S03,A-TMZ270,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,A-TMZ270.AT2,0.005,7269,0,0.016055057142857144,0.00039567428571428567,0.00367879,-0.00367879,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/6,S03,A-TMZ270,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,A-TMZ270.AT2,0.005,7269,0,0.017641828571428573,0.00025046085714285716,0.00407025,-0.00407025,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/7,S03,A-TMZ270,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,A-TMZ270.AT2,0.005,7269,0,0.018969057142857144,0.0005598057142857143,0.00439506,-0.00439506,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/8,S03,A-TMZ270,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,A-TMZ270.AT2,0.005,7269,0,0.020177,0.00019884914285714286,0.00468701,-0.00468701,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/9,S03,A-TMZ270,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,A-TMZ270.AT2,0.005,7269,0,0.021030085714285714,0.0004562057142857143,0.00489047,-0.00489047,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/10,S03,A-TMZ270,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.021333685714285712,0.001637062857142857,0.00496094,-0.00496094,0.0,FF22
S03/A-TMZ270/P1/G3fine_r36/SaT1/11,S03,A-TMZ270,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.022851542857142856,0.002852454285714286,0.00530385,-0.00530385,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/0,S04,A-TMZ270,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.004488928571428572,0.0016777214285714284,0.000841681,-0.000841681,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/1,S04,A-TMZ270,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.008310178571428573,0.0034677964285714283,0.00156198,-0.00156198,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/2,S04,A-TMZ270,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0121415,0.004784678571428572,0.00233452,-0.00233452,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/3,S04,A-TMZ270,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,A-TMZ270.AT2,0.005,7269,0,0.014415964285714287,0.0012667000000000002,0.00283206,-0.00283206,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/4,S04,A-TMZ270,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,A-TMZ270.AT2,0.005,7269,0,0.01447575,0.0009975642857142858,0.00286395,-0.00286395,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/5,S04,A-TMZ270,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,A-TMZ270.AT2,0.005,7269,0,0.016446964285714287,0.0013447178571428574,0.00326963,-0.00326963,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/6,S04,A-TMZ270,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,A-TMZ270.AT2,0.005,7269,0,0.019652178571428574,0.0015837821428571432,0.00396132,-0.00396132,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/7,S04,A-TMZ270,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,A-TMZ270.AT2,0.005,7269,0,0.020217428571428574,0.0020901571428571433,0.00408104,-0.00408104,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/8,S04,A-TMZ270,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,A-TMZ270.AT2,0.005,7269,0,0.02152771428571429,0.0028914321428571434,0.00435361,-0.00435361,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/9,S04,A-TMZ270,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,A-TMZ270.AT2,0.005,7269,0,0.023487535714285718,0.0038045,0.00476194,-0.00476194,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/10,S04,A-TMZ270,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.02502771428571429,0.004465321428571429,0.00508061,-0.00508061,0.0,FF22
S04/A-TMZ270/P1/G3fine_r36/SaT1/11,S04,A-TMZ270,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.026348607142857142,0.005176071428571429,0.00535356,-0.00535356,0.0,FF22
S05/A-TMZ270/P1/G3fine_r36/SaT1/0,S05,A-TMZ270,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,A-TMZ270.AT2,0.005,7269,0,0.005558125,0.004613475,0.0011465,-0.0011465,0.0,FF22
S05/A-TMZ270/P1/G3fine_r36/SaT1/1,S05,A-TMZ270,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,A-TMZ270.AT2,0.005,7269,0,0.009655925,0.004885575,0.00202104,-0.00202104,0.0,FF22
S05/A-TMZ270/P1/G3fine_r36/SaT1/2,S05,A-TMZ270,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,A-TMZ270.AT2,0.005,7269,0,0.011153225,0.003390525,0.00237644,-0.00237644,0.0,FF22
S05/A-TMZ270/P1/G3fine_r36/SaT1/3,S05,A-TMZ270,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,A-TMZ270.AT2,0.005,7269,0,0.0119829,0.003098225,0.00258358,-0.00258358,0.0,FF22
