run_id,specimen_id,gm_id,analysis_protocol_id,im_grid_id,im_type,im_level,im_value,scale_factor,converged,analysis_status,gm_file,dt,npts,opensees_returncode,edp_max_drift_ratio,edp_residual_drift_ratio,steel_tube_eps_t_max,steel_tube_eps_c_min,concrete_core_eps_c_min,record_set
S01/184327/P1/G3fine_r36/SaT1/0,S01,184327,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,184327.AT2,0.01,2949,0,0.006324133333333333,0.002352973333333333,0.00126523,-0.00126523,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/1,S01,184327,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,184327.AT2,0.01,2949,0,0.0098076,0.004540066666666667,0.00199044,-0.00199044,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/2,S01,184327,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,184327.AT2,0.01,2949,0,0.012602733333333333,0.0041838000000000005,0.00261395,-0.00261395,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/3,S01,184327,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,184327.AT2,0.01,2949,0,0.014551300000000001,0.0030469566666666667,0.00306805,-0.00306805,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/4,S01,184327,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,184327.AT2,0.01,2949,0,0.015399966666666667,0.002330396666666667,0.00326628,-0.00326628,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/5,S01,184327,P1,G3fine_r36,SaT1,5,0.6,0.6,True,ok,184327.AT2,0.01,2949,0,0.0152831,0.0020959533333333334,0.00324309,-0.00324309,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/6,S01,184327,P1,G3fine_r36,SaT1,6,0.7,0.7,True,ok,184327.AT2,0.01,2949,0,0.018300433333333335,0.0022519533333333333,0.00393998,-0.00393998,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/7,S01,184327,P1,G3fine_r36,SaT1,7,0.8,0.8,True,ok,184327.AT2,0.01,2949,0,0.0222075,0.00076428,0.00481485,-0.00481485,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/8,S01,184327,P1,G3fine_r36,SaT1,8,0.9,0.9,True,ok,184327.AT2,0.01,2949,0,0.024532966666666666,7.098133333333334e-05,0.00532539,-0.00532539,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/9,S01,184327,P1,G3fine_r36,SaT1,9,1.0,1.0,True,ok,184327.AT2,0.01,2949,0,0.025803466666666667,0.0011029533333333332,0.0056043,-0.0056043,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/10,S01,184327,P1,G3fine_r36,SaT1,10,1.1,1.1,True,ok,184327.AT2,0.01,2949,0,0.0270505,0.0022566933333333333,0.00587474,-0.00587474,0.0,FF22
S01/184327/P1/G3fine_r36/SaT1/11,S01,184327,P1,G3fine_r36,SaT1,11,1.2,1.2,True,ok,184327.AT2,0.01,2949,0,0.026486833333333334,0.0050357,0.00574262,-0.00574262,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/0,S02,184327,P1,G3fine_r36,SaT1,0,0.1,0.1,True,ok,184327.AT2,0.01,2949,0,0.00298785,0.002254553125,0.000630249,-0.000630249,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/1,S02,184327,P1,G3fine_r36,SaT1,1,0.2,0.2,True,ok,184327.AT2,0.01,2949,0,0.005956187499999999,0.004482374999999999,0.00125681,-0.00125681,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/2,S02,184327,P1,G3fine_r36,SaT1,2,0.3,0.3,True,ok,184327.AT2,0.01,2949,0,0.008730812499999999,0.00593484375,0.00185928,-0.00185928,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/3,S02,184327,P1,G3fine_r36,SaT1,3,0.4,0.4,True,ok,184327.AT2,0.01,2949,0,0.010729406249999998,0.0050324062499999996,0.00233355,-0.00233355,0.0,FF22
S02/184327/P1/G3fine_r36/SaT1/4,S02,184327,P1,G3fine_r36,SaT1,4,0.5,0.5,True,ok,184327.AT2,0.01,2949,0,0.011611874999999999,0.00422884375,0.00254908,-0.00254908,0.0,FF22
