subset_id,record_set,draw_order,gm_id,base_eq_id,pga_g,path,seed,records_per_pool,sampling
0,FF22,0,HSP090,,0.177378,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/HSP090.AT2,20260514,10,without_replacement_within_subset
0,FF22,1,YER270,,0.244803,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/YER270.AT2,20260514,10,without_replacement_within_subset
0,FF22,2,B-ICC000,,0.357855,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC000.AT2,20260514,10,without_replacement_within_subset
0,FF22,3,TCU025-V,,0.0342983,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU025-V.AT2,20260514,10,without_replacement_within_subset
0,FF22,4,PEL090,,0.209876,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL090.AT2,20260514,10,without_replacement_within_subset
0,FF22,5,TCU036-N,,0.130863,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU036-N.AT2,20260514,10,without_replacement_within_subset
0,FF22,6,HWA015-V,,0.0504858,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA015-V.AT2,20260514,10,without_replacement_within_subset
0,FF22,7,HWA005-V,,0.0512845,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA005-V.AT2,20260514,10,without_replacement_within_subset
0,FF22,8,ORR090,,0.568322,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/ORR090.AT2,20260514,10,without_replacement_within_subset
0,FF22,9,ARCDWN,,0.0857096,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARCDWN.AT2,20260514,10,without_replacement_within_subset
0,FFext,0,ILA036-V,,0.0256021,data/gm_ffext/ILA036-V.AT2,20260514,10,without_replacement_within_subset
0,FFext,1,HWA005-N,,0.138548,data/gm_ffext/HWA005-N.AT2,20260514,10,without_replacement_within_subset
0,FFext,2,A-ELC180,,0.130069,data/gm_ffext/A-ELC180.AT2,20260514,10,without_replacement_within_subset
0,FFext,3,TCU039-N,,0.144605,data/gm_ffext/TCU039-N.AT2,20260514,10,without_replacement_within_subset
0,FFext,4,EUR000,,0.15404,data/gm_ffext/EUR000.AT2,20260514,10,without_replacement_within_subset
0,FFext,5,NIS090,,0.502749,data/gm_ffext/NIS090.AT2,20260514,10,without_replacement_within_subset
0,FFext,6,H-DLT262,,0.237759,data/gm_ffext/H-DLT262.AT2,20260514,10,without_replacement_within_subset
0,FFext,7,PEL180,,0.174179,data/gm_ffext/PEL180.AT2,20260514,10,without_replacement_within_subset
0,FFext,8,PEL090,,0.209876,data/gm_ffext/PEL090.AT2,20260514,10,without_replacement_within_subset
0,FFext,9,A-TMZ270,,0.314809,data/gm_ffext/A-TMZ270.AT2,20260514,10,without_replacement_within_subset
0,NF28,0,NF8215031,821503,0.8217865,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215031).txt,20260514,10,without_replacement_within_subset
0,NF28,1,NF8210861,821086,0.7326056,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,20260514,10,without_replacement_within_subset
0,NF28,2,NF8211762,821176,0.3134605,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211762).txt,20260514,10,without_replacement_within_subset
0,NF28,3,NF8215171,821517,1.156699,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215171).txt,20260514,10,without_replacement_within_subset
0,NF28,4,NF8211652,821165,0.219541,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,20260514,10,without_replacement_within_subset
0,NF28,5,NF8201811,820181,0.4417138,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,20260514,10,without_replacement_within_subset
0,NF28,6,NF8207411,820741,0.6371974,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207411).txt,20260514,10,without_replacement_within_subset
0,NF28,7,NF8201821,820182,0.4623938,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201821).txt,20260514,10,without_replacement_within_subset
0,NF28,8,NF8204952,820495,1.178028,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204952).txt,20260514,10,without_replacement_within_subset
0,NF28,9,NF8210482,821048,0.4221552,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210482).txt,20260514,10,without_replacement_within_subset
1,FF22,0,HWA005-W,,0.147236,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA005-W.AT2,20260514,10,without_replacement_within_subset
1,FF22,1,H-E11230,,0.379579,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-E11230.AT2,20260514,10,without_replacement_within_subset
1,FF22,2,B-ICC000,,0.357855,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC000.AT2,20260514,10,without_replacement_within_subset
1,FF22,3,LOS270,,0.482002,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS270.AT2,20260514,10,without_replacement_within_subset
1,FF22,4,TCU045-E,,0.474352,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU045-E.AT2,20260514,10,without_replacement_within_subset
1,FF22,5,TCU110-N,,0.179814,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU110-N.AT2,20260514,10,without_replacement_within_subset
1,FF22,6,A-TMZ270,,0.314809,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ270.AT2,20260514,10,without_replacement_within_subset
1,FF22,7,TCU095-N,,0.711632,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU095-N.AT2,20260514,10,without_replacement_within_subset
1,FF22,8,ORR360,,0.51426,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/ORR360.AT2,20260514,10,without_replacement_within_subset
1,FF22,9,H-DLTDWN,,0.144955,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/IMPVALL/H-DLTDWN.AT2,20260514,10,without_replacement_within_subset
1,FFext,0,TAP100-E,,0.0573297,data/gm_ffext/TAP100-E.AT2,20260514,10,without_replacement_within_subset
1,FFext,1,H-DLT262,,0.237759,data/gm_ffext/H-DLT262.AT2,20260514,10,without_replacement_within_subset
1,FFext,2,21081360,,0.149747,data/gm_ffext/21081360.AT2,20260514,10,without_replacement_within_subset
1,FFext,3,HWA005-V,,0.0512845,data/gm_ffext/HWA005-V.AT2,20260514,10,without_replacement_within_subset
1,FFext,4,STM360,,0.369872,data/gm_ffext/STM360.AT2,20260514,10,without_replacement_within_subset
1,FFext,5,JOS000,,0.273697,data/gm_ffext/JOS000.AT2,20260514,10,without_replacement_within_subset
1,FFext,6,TCU025-E,,0.0752309,data/gm_ffext/TCU025-E.AT2,20260514,10,without_replacement_within_subset
1,FFext,7,STM090,,0.883219,data/gm_ffext/STM090.AT2,20260514,10,without_replacement_within_subset
1,FFext,8,184327,,0.208729,data/gm_ffext/184327.AT2,20260514,10,without_replacement_within_subset
1,FFext,9,JOS090,,0.284031,data/gm_ffext/JOS090.AT2,20260514,10,without_replacement_within_subset
1,NF28,0,NF8210861,821086,0.7326056,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,20260514,10,without_replacement_within_subset
1,NF28,1,NF8216052,821605,0.5183794,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216052).txt,20260514,10,without_replacement_within_subset
1,NF28,2,NF8215041,821504,0.5583689,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215041).txt,20260514,10,without_replacement_within_subset
1,NF28,3,NF8201601,820160,0.7638503,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201601).txt,20260514,10,without_replacement_within_subset
1,NF28,4,NF8208252,820825,1.431426,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208252).txt,20260514,10,without_replacement_within_subset
1,NF28,5,NF8210631,821063,0.8698058,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210631).txt,20260514,10,without_replacement_within_subset
1,NF28,6,NF8201811,820181,0.4417138,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,20260514,10,without_replacement_within_subset
1,NF28,7,NF8204961,820496,0.445846,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204961).txt,20260514,10,without_replacement_within_subset
1,NF28,8,NF8211762,821176,0.3134605,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211762).txt,20260514,10,without_replacement_within_subset
1,NF28,9,NF8221141,822114,0.3346401,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221141).txt,20260514,10,without_replacement_within_subset
2,FF22,0,CHY101-E,,0.352887,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY101-E.AT2,20260514,10,without_replacement_within_subset
2,FF22,1,TCU110-V,,0.121733,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/TCU110-V.AT2,20260514,10,without_replacement_within_subset
2,FF22,2,HWA055-V,,0.0616306,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/HWA055-V.AT2,20260514,10,without_replacement_within_subset
2,FF22,3,B-POE270,,0.446326,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LANDERS/B-POE270.AT2,20260514,10,without_replacement_within_subset
2,FF22,4,MUL009,,0.415783,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/MUL009.AT2,20260514,10,without_replacement_within_subset
2,FF22,5,G03090,,0.367362,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/LOMAP/G03090.AT2,20260514,10,without_replacement_within_subset
2,FF22,6,CHY059-N,,0.0494289,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-N.AT2,20260514,10,without_replacement_within_subset
2,FF22,7,FOR090,,0.114031,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CAPEMEND/FOR090.AT2,20260514,10,without_replacement_within_subset
2,FF22,8,LOS000,,0.410041,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/NORTHR/LOS000.AT2,20260514,10,without_replacement_within_subset
2,FF22,9,HECVER,,0.150246,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/HECTOR/HECVER.AT2,20260514,10,without_replacement_within_subset
2,FFext,0,B-ICC000,,0.357855,data/gm_ffext/B-ICC000.AT2,20260514,10,without_replacement_within_subset
2,FFext,1,TCU059-V,,0.0566435,data/gm_ffext/TCU059-V.AT2,20260514,10,without_replacement_within_subset
2,FFext,2,WGK-N,,0.48374,data/gm_ffext/WGK-N.AT2,20260514,10,without_replacement_within_subset
2,FFext,3,TCU045-V,,0.361057,data/gm_ffext/TCU045-V.AT2,20260514,10,without_replacement_within_subset
2,FFext,4,CHY101-V,,0.164807,data/gm_ffext/CHY101-V.AT2,20260514,10,without_replacement_within_subset
2,FFext,5,YER270,,0.244803,data/gm_ffext/YER270.AT2,20260514,10,without_replacement_within_subset
2,FFext,6,TCU095-N,,0.711632,data/gm_ffext/TCU095-N.AT2,20260514,10,without_replacement_within_subset
2,FFext,7,TCU128-E,,0.13933,data/gm_ffext/TCU128-E.AT2,20260514,10,without_replacement_within_subset
2,FFext,8,CHY059-E,,0.0492776,data/gm_ffext/CHY059-E.AT2,20260514,10,without_replacement_within_subset
2,FFext,9,B-WSM180,,0.210859,data/gm_ffext/B-WSM180.AT2,20260514,10,without_replacement_within_subset
2,NF28,0,NF8201821,820182,0.4623938,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201821).txt,20260514,10,without_replacement_within_subset
2,NF28,1,NF8207532,820753,0.5135683,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207532).txt,20260514,10,without_replacement_within_subset
2,NF28,2,NF8201811,820181,0.4417138,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,20260514,10,without_replacement_within_subset
2,NF28,3,NF8208022,820802,0.3761446,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208022).txt,20260514,10,without_replacement_within_subset
2,NF28,4,NF8215291,821529,0.2930377,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215291).txt,20260514,10,without_replacement_within_subset
2,NF28,5,NF8215031,821503,0.8217865,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215031).txt,20260514,10,without_replacement_within_subset
2,NF28,6,NF8207411,820741,0.6371974,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207411).txt,20260514,10,without_replacement_within_subset
2,NF28,7,NF8221141,822114,0.3346401,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221141).txt,20260514,10,without_replacement_within_subset
2,NF28,8,NF8201262,820126,0.7102539,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201262).txt,20260514,10,without_replacement_within_subset
