specimen_id,gm_id,analysis_protocol_id,im_grid_id,im_type,im_observation,censored,subset_id,record_set
S01,ARCDWN,P1,G3fine_r36,SaT1,0.5,False,0,FF22
S01,B-ICC000,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S01,HSP090,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S01,HWA005-V,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S01,HWA015-V,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S01,ORR090,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S01,PEL090,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S01,TCU025-V,P1,G3fine_r36,SaT1,0.9,False,0,FF22
S01,TCU036-N,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S01,YER270,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S02,ARCDWN,P1,G3fine_r36,SaT1,1.2,False,0,FF22
S02,B-ICC000,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S02,HSP090,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S02,HWA005-V,P1,G3fine_r36,SaT1,0.5,False,0,FF22
S02,HWA015-V,P1,G3fine_r36,SaT1,0.4,False,0,FF22
S02,ORR090,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S02,PEL090,P1,G3fine_r36,SaT1,0.4,False,0,FF22
S02,TCU025-V,P1,G3fine_r36,SaT1,0.6,False,0,FF22
S02,TCU036-N,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S02,YER270,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S03,ARCDWN,P1,G3fine_r36,SaT1,1.1,False,0,FF22
S03,B-ICC000,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S03,HSP090,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S03,HWA005-V,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S03,HWA015-V,P1,G3fine_r36,SaT1,0.4,False,0,FF22
S03,ORR090,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S03,PEL090,P1,G3fine_r36,SaT1,0.6,False,0,FF22
S03,TCU025-V,P1,G3fine_r36,SaT1,0.9,False,0,FF22
S03,TCU036-N,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S03,YER270,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S04,ARCDWN,P1,G3fine_r36,SaT1,1.1,False,0,FF22
S04,B-ICC000,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S04,HSP090,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S04,HWA005-V,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S04,HWA015-V,P1,G3fine_r36,SaT1,0.3,False,0,FF22
S04,ORR090,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S04,PEL090,P1,G3fine_r36,SaT1,0.2,False,0,FF22
S04,TCU025-V,P1,G3fine_r36,SaT1,0.7,False,0,FF22
S04,TCU036-N,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S04,YER270,P1,G3fine_r36,SaT1,0.1,False,0,FF22
S05,ARCDWN,P1,G3fine_r36,SaT1,1.0,False,0,FF22
S05,B-ICC000,P1,G3fine_r36,SaT1,0.3,False,0,FF22
