record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
FFext,CHY104-V,,0.124936,data/gm_ffext/CHY104-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CHY104-W,,0.161863,data/gm_ffext/CHY104-W.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CLW-LN,,0.282825,data/gm_ffext/CLW-LN.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,CLW-TR,,0.41689,data/gm_ffext/CLW-TR.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,DZC180,,0.312128,data/gm_ffext/DZC180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,DZC270,,0.357876,data/gm_ffext/DZC270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,EUR000,,0.15404,data/gm_ffext/EUR000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,EUR090,,0.178212,data/gm_ffext/EUR090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,FOR000,,0.116109,data/gm_ffext/FOR000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,FOR090,,0.114031,data/gm_ffext/FOR090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,G03000,,0.555024,data/gm_ffext/G03000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,G03090,,0.367362,data/gm_ffext/G03090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-CXO225,,0.274843,data/gm_ffext/H-CXO225.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-CXO315,,0.201947,data/gm_ffext/H-CXO315.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLT262,,0.237759,data/gm_ffext/H-DLT262.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLT352,,0.351119,data/gm_ffext/H-DLT352.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-DLTDWN,,0.144955,data/gm_ffext/H-DLTDWN.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-E11140,,0.363978,data/gm_ffext/H-E11140.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-E11230,,0.379579,data/gm_ffext/H-E11230.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-SHP000,,0.287402,data/gm_ffext/H-SHP000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,H-SHP270,,0.506009,data/gm_ffext/H-SHP270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HCH090,,0.246526,data/gm_ffext/HCH090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HCH180,,0.214798,data/gm_ffext/HCH180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HDA165,,0.268668,data/gm_ffext/HDA165.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HDA255,,0.27888,data/gm_ffext/HDA255.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HEC000,,0.26558,data/gm_ffext/HEC000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HEC090,,0.336769,data/gm_ffext/HEC090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HECVER,,0.150246,data/gm_ffext/HECVER.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HSP000,,0.37054,data/gm_ffext/HSP000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HSP090,,0.177378,data/gm_ffext/HSP090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA005-N,,0.138548,data/gm_ffext/HWA005-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA005-V,,0.0512845,data/gm_ffext/HWA005-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA005-W,,0.147236,data/gm_ffext/HWA005-W.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA015-E,,0.105455,data/gm_ffext/HWA015-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA015-N,,0.0734442,data/gm_ffext/HWA015-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA015-V,,0.0504858,data/gm_ffext/HWA015-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA055-N,,0.0877052,data/gm_ffext/HWA055-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA055-V,,0.0616306,data/gm_ffext/HWA055-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,HWA055-W,,0.093861,data/gm_ffext/HWA055-W.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA027-E,,0.101309,data/gm_ffext/ILA027-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA027-N,,0.0624175,data/gm_ffext/ILA027-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA027-V,,0.0215876,data/gm_ffext/ILA027-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA036-E,,0.0553713,data/gm_ffext/ILA036-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA036-N,,0.0675822,data/gm_ffext/ILA036-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ILA036-V,,0.0256021,data/gm_ffext/ILA036-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,JOS000,,0.273697,data/gm_ffext/JOS000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,JOS090,,0.284031,data/gm_ffext/JOS090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,KAK000,,0.251447,data/gm_ffext/KAK000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,KAK090,,0.34472,data/gm_ffext/KAK090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,KJM000,,0.821327,data/gm_ffext/KJM000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,KJM090,,0.598514,data/gm_ffext/KJM090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,LOS000,,0.410041,data/gm_ffext/LOS000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,LOS270,,0.482002,data/gm_ffext/LOS270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,MU2035,,0.616893,data/gm_ffext/MU2035.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,MU2125,,0.444393,data/gm_ffext/MU2125.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,MUL009,,0.415783,data/gm_ffext/MUL009.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,MUL279,,0.516457,data/gm_ffext/MUL279.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,NIS000,,0.509338,data/gm_ffext/NIS000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,NIS090,,0.502749,data/gm_ffext/NIS090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ORR090,,0.568322,data/gm_ffext/ORR090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,ORR360,,0.51426,data/gm_ffext/ORR360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,PEL090,,0.209876,data/gm_ffext/PEL090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,PEL180,,0.174179,data/gm_ffext/PEL180.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,RIO270,,0.38542,data/gm_ffext/RIO270.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,RIO360,,0.548927,data/gm_ffext/RIO360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,SHI000,,0.243233,data/gm_ffext/SHI000.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,SHI090,,0.211916,data/gm_ffext/SHI090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,STM090,,0.883219,data/gm_ffext/STM090.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,STM360,,0.369872,data/gm_ffext/STM360.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,STN020,,0.474489,data/gm_ffext/STN020.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,STN110,,0.438614,data/gm_ffext/STN110.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAF021,,0.155955,data/gm_ffext/TAF021.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAF111,,0.177794,data/gm_ffext/TAF111.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP006-E,,0.104612,data/gm_ffext/TAP006-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP006-N,,0.0708195,data/gm_ffext/TAP006-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP006-V,,0.0322923,data/gm_ffext/TAP006-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP012-E,,0.0996042,data/gm_ffext/TAP012-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP012-N,,0.0553551,data/gm_ffext/TAP012-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP012-V,,0.0281474,data/gm_ffext/TAP012-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP100-E,,0.0573297,data/gm_ffext/TAP100-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP100-N,,0.0873791,data/gm_ffext/TAP100-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TAP100-V,,0.0240192,data/gm_ffext/TAP100-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU025-E,,0.0752309,data/gm_ffext/TCU025-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
