record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
FF22,184057,,0.13207,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184057.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,184327,,0.208729,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/184327.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,A-TMZ000,,0.351329,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ000.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,A-TMZ270,,0.314809,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/FRIULI/A-TMZ270.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,ABBAR--L,,0.514562,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/ABBAR--L.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,ABBAR--T,,0.496352,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/MANJIL/ABBAR--T.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,ARC000,,0.218836,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARC000.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,ARC090,,0.1499,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARC090.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,ARCDWN,,0.0857096,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/KOCAELI/ARCDWN.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FF22,B-ICC000,,0.357855,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC000.AT2,"P695_FF22_AT2_original: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
