record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
NF28,NF8208252,820825,1.431426,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208252).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8204952,820495,1.178028,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204952).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8215171,821517,1.156699,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215171).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8210631,821063,0.8698058,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210631).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8215031,821503,0.8217865,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215031).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8208792,820879,0.7896413,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208792).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8201601,820160,0.7638503,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201601).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8210861,821086,0.7326056,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8210041,821004,0.7311632,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210041).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8201262,820126,0.7102539,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201262).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8207411,820741,0.6371974,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207411).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8208282,820828,0.629605,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208282).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8215041,821504,0.5583689,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215041).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8216052,821605,0.5183794,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216052).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8207532,820753,0.5135683,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207532).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8208211,820821,0.4863872,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208211).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8201821,820182,0.4623938,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201821).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8204961,820496,0.445846,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8204961).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8201811,820181,0.4417138,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8210482,821048,0.4221552,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210482).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8207231,820723,0.4185484,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207231).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8208022,820802,0.3761446,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208022).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8221141,822114,0.3346401,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221141).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8211762,821176,0.3134605,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211762).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8202922,820292,0.3053232,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8202922).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8215291,821529,0.2930377,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215291).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8201651,820165,0.2842858,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201651).txt,ready near-field horizontal components; one strongest component per base_eq_id
NF28,NF8211652,821165,0.219541,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,ready near-field horizontal components; one strongest component per base_eq_id
