timestamp,elapsed_seconds,b,records_per_pool,seed,max_new_runs,run_bank_only,dry_run,use_completion_cache,expected_unique_run_bank_runs,new_runs,skipped_complete_runs,blocked_not_run
2026-05-15T13:58:35+0800,184.202,10,10,20260514,1,True,False,False,10740,1,7690,3049
2026-05-15T14:04:39+0800,158.451,10,10,20260514,0,True,False,True,10740,0,7691,3049
2026-05-15T14:09:12+0800,192.226,10,10,20260514,20,True,False,True,10740,20,7691,3029
2026-05-15T14:17:39+0800,170.686,10,10,20260514,20,True,False,True,10740,20,7711,3009
2026-05-15T14:46:21+0800,243.767,10,10,20260514,30,True,False,True,10740,30,7731,2979
2026-05-15T15:59:45+0800,322.918,10,10,20260514,50,True,False,True,10740,50,7761,2929
2026-05-15T16:10:22+0800,504.818,10,10,20260514,100,True,False,True,10740,100,7811,2829
2026-05-15T16:30:49+0800,902.048,10,10,20260514,200,True,False,True,10740,200,7911,2629
2026-05-15T16:44:16+0800,569.026,10,10,20260514,500,True,False,True,10740,500,8111,2129
2026-05-15T16:58:34+0800,606.890,10,10,20260514,1000,True,False,True,10740,1000,8611,1129
2026-05-15T17:11:35+0800,637.169,10,10,20260514,1129,True,False,True,10740,1129,9611,0
2026-05-15T17:13:51+0800,0.270,10,10,20260514,,False,False,True,10740,0,10740,0
