subset_id,record_set,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood
0,FF22,0.19819280581713722,0.7163516578011121,-1.6185149553376708,50,50,0,-54.2677226118649
0,FFext,0.3325003754933042,0.7003094310135368,-1.1011142895836954,50,50,0,-53.13527720830292
0,NF28,0.12584945760618818,0.3397253742144727,-2.072668867253658,50,50,0,-16.9660416787021
1,FF22,0.2291644453290687,0.6882404676746315,-1.4733154312660173,50,50,0,-52.2660772633602
1,FFext,0.2620745422274399,0.6240341850992536,-1.3391263033685217,50,50,0,-47.36942056081231
1,NF28,0.1268741621374621,0.3812698345506781,-2.064559533050554,50,50,0,-22.73453051328844
2,FF22,0.2388960877556838,0.6571116989726687,-1.4317266008594571,50,50,0,-49.95186315595857
2,FFext,0.28035148244830016,0.7264936948038329,-1.2717111685780318,50,50,0,-54.97065269543812
2,NF28,0.14242431523207094,0.4603839932957418,-1.9489445415466957,50,50,0,-32.16220877973882
3,FF22,0.13531067333480548,0.4831200163712949,-2.0001818604806574,50,50,0,-34.572418158593294
3,FFext,0.23902477534473424,0.5343449440312845,-1.4311880698929464,50,50,0,-39.611242358117536
3,NF28,0.12100759535976914,0.37650565194361235,-2.1119019637871084,50,50,0,-22.105815768781667
4,FF22,0.21634640630784915,0.6897944284981005,-1.5308744229976208,50,50,0,-52.378843679310435
4,FFext,0.4423531877101334,0.669262607827137,-0.8156466487711831,50,50,0,-50.86798912497447
4,NF28,0.12440958409006916,0.3868231867985741,-2.084176059120009,50,50,0,-23.457548229193296
5,FF22,0.23928540111709287,0.5974772858522611,-1.430098292543528,50,50,0,-45.19497570952903
5,FFext,0.37095138961206464,0.5850213426872185,-0.9916842502636749,50,50,0,-44.14157929282205
5,NF28,0.1355190935897672,0.42668354157126726,-1.9986427364879562,50,50,0,-28.361294903594853
6,FF22,0.31439372851572617,0.7922373764918325,-1.1571091660951034,50,50,0,-59.302216090776135
6,FFext,0.31708104838552353,0.5870792346646981,-1.1485978646432111,50,50,0,-44.31715238513325
6,NF28,0.12512744538335158,0.35063770077116496,-2.0784224980144352,50,50,0,-18.54683817322561
7,FF22,0.29636974019555634,0.543230760654481,-1.2161474818799667,50,50,0,-40.43587282294234
7,FFext,0.31763542236889913,0.7133797055554525,-1.1468510244400978,50,50,0,-54.05985433375551
7,NF28,0.1276062616944417,0.34417375638156195,-2.058805836435028,50,50,0,-17.616494648977675
8,FF22,0.1764889856677579,0.571400201285105,-1.734496808704686,50,50,0,-42.963654603517966
8,FFext,0.2537898901909829,0.5941409804201916,-1.3712485582581078,50,50,0,-44.91499437921904
8,NF28,0.14642840679308355,0.45912179464997394,-1.921218660805491,50,50,0,-32.02493914881667
9,FF22,0.21532952769821162,0.6946944517615271,-1.5355857372519377,50,50,0,-52.73276888040994
