specimen_id,H,D,t_steel,drift_limit,residual_drift_limit,steel_eps_t_limit,steel_eps_c_limit,concrete_eps_c_limit
S01,3.0,0.40,0.008,0.005,0.01,0.05,-0.05,-0.008
S02,3.2,0.45,0.010,0.005,0.01,0.05,-0.05,-0.008
S03,3.5,0.50,0.012,0.005,0.01,0.05,-0.05,-0.008
S04,2.8,0.35,0.008,0.005,0.01,0.05,-0.05,-0.008
S05,4.0,0.55,0.014,0.005,0.01,0.05,-0.05,-0.008
