gm_set,gm_id,path,dt,npts,pga_g,record_set
P695_FF22_AT2_original,BOL090,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/DUZCE/BOL090.AT2,0.01,5590.0,0.822429,FF22
P695_FF22_AT2_original,B-ICC000,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SUPERST/B-ICC000.AT2,0.005,8000.0,0.357855,FF22
P695_FF22_AT2_original,PEL180,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/SFERN/PEL180.AT2,0.01,2800.0,0.174179,FF22
P695_FF22_AT2_original,ILA027-E,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/ILA027-E.AT2,0.005,17801.0,0.101309,FF22
P695_FF22_AT2_original,CHY059-V,data/ground_motions/ATC-63_Far-Field_GroundMotionAccelTextFiles_Unscaled_Original/CHICHI/CHY059-V.AT2,0.005,18000.0,0.0151785,FF22
