gm_set,gm_id,base_eq_id,component_index,path,dt_path,dt,npts,duration_s,pga_g,ready_for_time_history,record_set
P695_NF28_sorted_txt,NF8208252,820825,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208252).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208252).txt,0.02,1500,30.0,1.431426,True,NF28
P695_NF28_sorted_txt,NF8210861,821086,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210861).txt,0.02,2000,40.0,0.7326056,True,NF28
P695_NF28_sorted_txt,NF8207532,820753,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207532).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207532).txt,0.005,7989,39.945,0.5135683,True,NF28
P695_NF28_sorted_txt,NF8207231,820723,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8207231).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8207231).txt,0.01,2231,22.31,0.4185484,True,NF28
P695_NF28_sorted_txt,NF8211652,821165,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211652).txt,0.005,6000,30.0,0.219541,True,NF28
