gm_set,gm_id,base_eq_id,component_index,path,dt_path,dt,npts,duration_s,pga_g,ready_for_time_history,record_set
P695_NF28_sorted_txt,NF8208252,820825,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208252).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208252).txt,0.02,1500,30.0,1.431426,True,NF28
P695_NF28_sorted_txt,NF8210631,821063,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210631).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210631).txt,0.01,1991,19.91,0.8698058,True,NF28
P695_NF28_sorted_txt,NF8201601,820160,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201601).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201601).txt,0.005,7521,37.605,0.7638503,True,NF28
P695_NF28_sorted_txt,NF8201262,820126,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201262).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201262).txt,0.005,3253,16.265,0.7102539,True,NF28
P695_NF28_sorted_txt,NF8215041,821504,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215041).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215041).txt,0.005,18000,90.0,0.5583689,True,NF28
P695_NF28_sorted_txt,NF8208211,820821,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208211).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208211).txt,0.005,4156,20.78,0.4863872,True,NF28
P695_NF28_sorted_txt,NF8201811,820181,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8201811).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8201811).txt,0.005,7807,39.035,0.4417138,True,NF28
P695_NF28_sorted_txt,NF8208022,820802,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8208022).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8208022).txt,0.005,7991,39.955,0.3761446,True,NF28
P695_NF28_sorted_txt,NF8202922,820292,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8202922).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8202922).txt,0.0024,16392,39.3408,0.3053232,True,NF28
P695_NF28_sorted_txt,NF8211652,821165,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211652).txt,0.005,6000,30.0,0.219541,True,NF28
