gm_set,gm_id,base_eq_id,component_index,path,dt_path,dt,npts,duration_s,pga_g,ready_for_time_history
P695_NF28_sorted_txt,NF8210861,821086,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210861).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210861).txt,0.02,2000,40.0,0.7326056,True
P695_NF28_sorted_txt,NF8210862,821086,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8210862).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8210862).txt,0.02,2000,40.0,0.5950733,True
P695_NF28_sorted_txt,NF8211651,821165,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211651).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211651).txt,0.005,6000,30.0,0.152082,True
P695_NF28_sorted_txt,NF8211652,821165,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211652).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211652).txt,0.005,6000,30.0,0.219541,True
P695_NF28_sorted_txt,NF8211761,821176,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211761).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211761).txt,0.005,7000,35.0,0.2779333,True
P695_NF28_sorted_txt,NF8211762,821176,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8211762).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8211762).txt,0.005,7000,35.0,0.3134605,True
P695_NF28_sorted_txt,NF8215031,821503,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215031).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215031).txt,0.005,18000,90.0,0.8217865,True
P695_NF28_sorted_txt,NF8215032,821503,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215032).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215032).txt,0.005,18000,90.0,0.5853938,True
P695_NF28_sorted_txt,NF8215041,821504,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215041).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215041).txt,0.005,18000,90.0,0.5583689,True
P695_NF28_sorted_txt,NF8215042,821504,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215042).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215042).txt,0.005,18000,90.0,0.3121592,True
P695_NF28_sorted_txt,NF8215171,821517,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215171).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215171).txt,0.005,18000,90.0,1.156699,True
P695_NF28_sorted_txt,NF8215172,821517,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215172).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215172).txt,0.005,18000,90.0,0.420463,True
P695_NF28_sorted_txt,NF8215291,821529,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215291).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215291).txt,0.005,18000,90.0,0.2930377,True
P695_NF28_sorted_txt,NF8215292,821529,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8215292).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8215292).txt,0.005,18000,90.0,0.1679013,True
P695_NF28_sorted_txt,NF8216051,821605,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216051).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8216051).txt,0.005,5177,25.885,0.3578179,True
P695_NF28_sorted_txt,NF8216052,821605,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8216052).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8216052).txt,0.005,5177,25.885,0.5183794,True
P695_NF28_sorted_txt,NF8221141,822114,1,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221141).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8221141).txt,0.005,18000,90.0,0.3346401,True
P695_NF28_sorted_txt,NF8221142,822114,2,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/SortedEQFile_(8221142).txt,data/ground_motions/ATC-63_NearField_SortedEQFiles/SortedEQFiles/DtFile_(8221142).txt,0.005,18000,90.0,0.2835181,True
