eq_id,Sa_0.2,Sa_1.0,ssi_ln_ratio,gm_set
120111,1.0076,1.0198,0.012035264142600224,P695_FF22
120112,1.1471,0.93984,-0.19928264927696673,P695_FF22
120121,0.72595,0.37834,-0.6516878796921795,P695_FF22
120122,1.4661,0.63385,-0.8385487595594832,P695_FF22
120411,1.5502,0.71884,-0.7685004321835895,P695_FF22
120412,0.92248,1.1559,0.22556884483736078,P695_FF22
120521,0.65938,0.35351,-0.6233882260944154,P695_FF22
120522,0.83863,0.37276,-0.8108348270882324,P695_FF22
120611,0.534,0.26239,-0.7105638923725538,P695_FF22
120612,0.66919,0.48153,-0.32909949119200166,P695_FF22
120621,1.2418,0.24165,-1.6368268206396994,P695_FF22
120622,0.96471,0.22617,-1.4505406091479272,P695_FF22
120711,1.4876,0.30552,-1.5829041191336541,P695_FF22
120712,1.0625,0.28733,-1.307748519798354,P695_FF22
120721,0.41179,0.33249,-0.21390372621033393,P695_FF22
120722,0.3789,0.22681,-0.5131596554322105,P695_FF22
120811,0.52447,0.43455,-0.18807721598626181,P695_FF22
120812,0.64758,0.60919,-0.06111213214948341,P695_FF22
120821,0.667,0.1126,-1.778948330210034,P695_FF22
120822,0.36785,0.11165,-1.1923062680921066,P695_FF22
120911,0.4239,0.49932,0.16374959442425874,P695_FF22
120912,0.46471,0.32567,-0.3555289563823082,P695_FF22
120921,0.96602,0.19765,-1.5866867481892475,P695_FF22
120922,0.59747,0.36472,-0.4935741374349345,P695_FF22
121011,1.3472,0.45571,-1.0839270011974216,P695_FF22
121012,0.83583,0.2783,-1.0997255745922911,P695_FF22
121021,2.0336,0.26687,-2.030801251990807,P695_FF22
121022,1.3286,0.37649,-1.2609895487688938,P695_FF22
121111,1.6134,0.3538,-1.517367250777189,P695_FF22
121112,1.3613,0.54201,-0.9209109530644819,P695_FF22
121211,0.92132,0.308,-1.0957076413611302,P695_FF22
121212,0.50778,0.24665,-0.7220779552303223,P695_FF22
121221,0.63018,0.32668,-0.657024394372664,P695_FF22
121222,0.89065,0.34326,-0.9534633557300015,P695_FF22
121321,0.75866,0.53841,-0.34293336748398656,P695_FF22
121322,1.0778,0.38809,-1.0214399340115108,P695_FF22
121411,0.65026,0.4864,-0.29034095225905243,P695_FF22
121412,0.7596,0.94885,0.2224587460618569,P695_FF22
121421,0.97827,0.29828,-1.1877530628775457,P695_FF22
121422,0.73675,0.43362,-0.5300800470948595,P695_FF22
121511,0.64463,0.2459,-0.9637515595664422,P695_FF22
121512,0.42487,0.15416,-1.013792215673816,P695_FF22
121711,0.61849,0.2469,-0.9182976272019558,P695_FF22
121712,0.61107,0.29526,-0.7273551947882169,P695_FF22
col0,0.67189,0.42943,-0.44763588871616444,P695_NF28
