eq_id,Sa_0.2,Sa_1.0,ssi_ln_ratio,gm_set
col1,0.62258,0.60232,-0.03308326859599697,P695_NF28
col2,0.72358,0.65706,-0.09643577504355871,P695_NF28
col3,0.53591,0.64352,0.1829868700597838,P695_NF28
col4,0.86849,0.2524,-1.2357409408430353,P695_NF28
col5,1.0254,0.413,-0.9093904663885676,P695_NF28
col6,0.79418,0.97388,0.2039779569605602,P695_NF28
col7,0.6927,0.50928,-0.3075990414947768,P695_NF28
col8,0.96173,0.46519,-0.7262878217084024,P695_NF28
col9,1.022,0.32213,-1.1545615799868658,P695_NF28
col10,0.97476,0.97578,0.0010458643175487344,P695_NF28
col11,1.0606,0.36622,-1.063355818989462,P695_NF28
col12,0.86634,0.92198,0.06224609013616725,P695_NF28
col13,0.9434,0.69798,-0.30129992179343124,P695_NF28
col14,1.3605,0.43466,-1.1410434419457447,P695_NF28
col15,1.1083,0.33651,-1.1919547224563658,P695_NF28
col16,1.4203,1.9596,0.3218722538773374,P695_NF28
col17,1.2876,0.46499,-1.018519399444885,P695_NF28
col18,1.0707,0.89441,-0.17990363614610758,P695_NF28
col19,1.279,0.64588,-0.6832200735654222,P695_NF28
col20,0.40383,0.29091,-0.32798005633954685,P695_NF28
col21,0.62008,0.2791,-0.7982783614309794,P695_NF28
col22,1.0677,1.3297,0.2194465506784035,P695_NF28
col23,0.80593,1.1024,0.31324801015956266,P695_NF28
col24,0.31835,0.59522,0.6257796786418456,P695_NF28
col25,0.22627,0.57538,0.933301715621204,P695_NF28
col26,0.63373,0.53508,-0.16920672779463303,P695_NF28
col27,1.2575,0.73248,-0.5404448652096925,P695_NF28
col28,1.1865,0.81387,-0.37696242778721023,P695_NF28
col29,1.3917,0.41805,-1.2026802578297406,P695_NF28
col30,2.3526,0.44196,-1.6720569982813667,P695_NF28
col31,1.1755,0.44049,-0.9815611243371684,P695_NF28
col32,0.51666,0.41402,-0.22147073609892132,P695_NF28
col33,0.40424,0.36654,-0.09790110509392258,P695_NF28
col34,1.3119,0.53376,-0.8992854473566574,P695_NF28
col35,3.433,0.29432,-2.456522182661173,P695_NF28
col36,0.43498,0.16189,-0.9883829607668002,P695_NF28
col37,0.5719,0.28589,-0.6933570294695011,P695_NF28
col38,0.99438,0.55302,-0.5867252601298798,P695_NF28
col39,0.93258,0.44665,-0.7361796485750135,P695_NF28
col40,1.1221,0.52589,-0.7578651432781773,P695_NF28
col41,1.1333,0.49741,-0.8234743740280652,P695_NF28
col42,1.3732,0.41949,-1.1858593738626682,P695_NF28
col43,2.5587,0.72661,-1.2588647135702518,P695_NF28
col44,2.3392,0.62336,-1.3224400685413435,P695_NF28
col45,1.7097,0.99572,-0.5406071019453563,P695_NF28
col46,1.0659,0.80735,-0.2778175123674611,P695_NF28
col47,0.98617,0.39903,-0.9047921515008744,P695_NF28
col48,0.60989,0.37525,-0.4856861425239082,P695_NF28
col49,0.51461,0.35076,-0.3833071033166646,P695_NF28
col50,1.006,0.88878,-0.12388761483766872,P695_NF28
col51,0.51361,0.46114,-0.10776253806272273,P695_NF28
col52,1.6069,2.5389,0.4574240592964624,P695_NF28
col53,0.69392,0.85932,0.2137846987197926,P695_NF28
col54,0.63054,0.6942,0.09618350832212585,P695_NF28
col55,0.40482,0.82295,0.7094529216226879,P695_NF28
col58,0.2,1.0,1.6094379124341003,P695_NF28
col59,1.0285330357142857,0.6350555357142857,-0.48217637597704494,P695_NF28
col60,0.8994596237973176,0.5546791662433157,-0.4834042972446905,P695_NF28
col63,-0.3976606423339262,-0.8452965310500906,,P695_NF28
col64,-0.4738831448442733,-0.5069664134402703,,P695_NF28
col65,-0.3235441654228556,-0.4199799404664143,,P695_NF28
col66,-0.6237890424576337,-0.4408021723978498,,P695_NF28
col67,-0.1409992074720436,-1.376740148315079,,P695_NF28
col68,0.0250827803674632,-0.8843076860211043,,P695_NF28
col69,-0.2304451431757313,-0.0264671862151711,,P695_NF28
col70,-0.3671582739535777,-0.6747573154483545,,P695_NF28
col71,-0.0390215329909669,-0.7653093546993693,,P695_NF28
col72,0.0217614917815127,-1.132800088205353,,P695_NF28
col73,-0.0255639921312742,-0.0245181278137255,,P695_NF28
col74,0.0588347857208925,-1.0045210332685697,,P695_NF28
col75,-0.1434778377709543,-0.0812317476347871,,P695_NF28
col76,-0.0582649081319757,-0.3595648299254069,,P695_NF28
col77,0.307852279241164,-0.8331911627045808,,P695_NF28
col78,0.1028273097994703,-1.0891274126568955,,P695_NF28
col79,0.3508681169049452,0.6727403707822827,0.6509490587400029,P695_NF28
col80,0.2527800204425161,-0.7657393790023688,,P695_NF28
col81,0.0683126401820872,-0.1115909959640202,,P695_NF28
col82,0.2460785225967055,-0.4371415509687167,,P695_NF28
col83,-0.9067612816580256,-1.2347413379975725,,P695_NF28
col84,-0.4779067770088811,-1.2761851384398606,,P695_NF28
col85,0.0655068022021197,0.2849533528805232,1.4701715051059887,P695_NF28
col86,-0.2157583888823055,0.0974896212772571,,P695_NF28
col87,-1.1446038725191026,-0.518824193877257,,P695_NF28
col88,-1.4860263025189009,-0.5527245868976967,,P695_NF28
col89,-0.4561322827601184,-0.6253390105547515,,P695_NF28
col90,0.2291256229917572,-0.3113192422179351,,P695_NF28
col91,0.1710077968936812,-0.2059546308935289,,P695_NF28
col92,0.3305260214436706,-0.8721542363860701,,P695_NF28
col93,0.8555210995442039,-0.8165358987371628,,P695_NF28
col94,0.1616935889979871,-0.8198675353391812,,P695_NF28
col95,-0.6603702610460082,-0.8818409971449295,,P695_NF28
col96,-0.905746517998484,-1.0036476230924063,,P695_NF28
col97,0.2714764681048476,-0.6278089792518098,,P695_NF28
col98,1.233434514475555,-1.223087668185618,,P695_NF28
col99,-0.8324552259619225,-1.8208381867287229,,P695_NF28
col100,-0.5587911280608666,-1.2521481575303677,,P695_NF28
col101,-0.0056358516186294,-0.5923611117485093,,P695_NF28
col102,-0.0698003402592754,-0.805979988834289,,P695_NF28
col103,0.1152019296886836,-0.6426632135894937,,P695_NF28
col104,0.1251337307567656,-0.6983406432712995,,P695_NF28
col105,0.3171437826013999,-0.8687155912612682,,P695_NF28
col106,0.9394993170110364,-0.3193653965592153,,P695_NF28
col107,0.8498089905733223,-0.4726310779680214,,P695_NF28
col108,0.5363179165269265,-0.0042891854184298,,P695_NF28
col109,0.0638195127129541,-0.2139979996545069,,P695_NF28
col110,-0.013926525447948,-0.9187186769488224,,P695_NF28
col111,-0.4944766659446575,-0.9801628084685656,,P695_NF28
col112,-0.6643459467543176,-1.0476530500709822,,P695_NF28
col113,0.0059820716775474,-0.1179055431601212,,P695_NF28
col114,-0.6662910563909471,-0.7740535944536698,,P695_NF28
col115,0.4743068570655704,0.9317309163620328,0.6751895666373079,P695_NF28
col116,-0.365398598895081,-0.1516139001752883,,P695_NF28
col117,-0.4611786838765769,-0.3649951755544511,,P695_NF28
col118,-0.904312755114748,-0.19485983349206,,P695_NF28
