group,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood,record_set,protocol,censoring_rate
ALL,0.3528796335426031,0.5919142903610022,-1.0416282616619523,25,24,1,-22.80503166713308,FF22,P1,0.04
ALL,0.3528796335426031,0.5919142903610022,-1.0416282616619523,25,24,1,-22.80503166713308,FF22,P2,0.04
ALL,0.2858344100386669,0.6164662466325915,-1.2523426217181202,25,24,1,-23.86389015046454,FFext,P1,0.04
ALL,0.2858344100386669,0.6164662466325915,-1.2523426217181202,25,24,1,-23.86389015046454,FFext,P2,0.04
