group,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood,record_set,protocol,censoring_rate,n_runs,n_nonconverged,n_first_crossing
ALL,0.3528796335426031,0.5919142903610022,-1.0416282616619523,25,24,1,-22.80503166713308,FF22,P1,0.04,125,0,24
ALL,0.3528796335426031,0.5919142903610022,-1.0416282616619523,25,24,1,-22.80503166713308,FF22,P2,0.04,125,0,24
ALL,0.2858344100386669,0.6164662466325915,-1.2523426217181202,25,24,1,-23.86389015046454,FFext,P1,0.04,125,0,24
ALL,0.2858344100386669,0.6164662466325915,-1.2523426217181202,25,24,1,-23.86389015046454,FFext,P2,0.04,125,0,24
ALL,0.2173469850569602,0.225246755716657,-1.5262601930170885,25,25,0,1.7905710306311216,NF28,P1,0.0,125,0,25
ALL,0.2173469850569602,0.225246755716657,-1.5262601930170885,25,25,0,1.7905710306311216,NF28,P2,0.0,125,0,25
