effect_family,reference_record_set,record_set,protocol,theta_ref,theta,theta_percent_shift_vs_ref,log_theta_shift_vs_ref,beta_pool_equiv_binary,beta_ref,beta,beta_shift_vs_ref,censoring_rate,n_runs,n_nonconverged,interpretation
record_pool,FF22,FF22,P1,0.3528796335426031,0.3528796335426031,0.0,0.0,0.0,0.5919142903610022,0.5919142903610022,0.0,0.04,125,0,reference
record_pool,FF22,FFext,P1,0.3528796335426031,0.2858344100386669,-18.999459626179263,-0.21071436005616798,0.10535718002808399,0.5919142903610022,0.6164662466325915,0.024551956271589348,0.04,125,0,moderate record-pool effect; beta_pool_equiv=0.105
record_pool,FF22,NF28,P1,0.3528796335426031,0.2173469850569602,-38.40761426920947,-0.4846319313551361,0.24231596567756805,0.5919142903610022,0.225246755716657,-0.3666675346443452,0.0,125,0,large record-pool effect; beta_pool_equiv=0.242
