group,theta,beta,mu,n_total,n_observed,n_censored,log_likelihood,record_set,protocol,censoring_rate,n_runs,n_nonconverged,n_first_crossing
ALL,0.2070450420911918,0.7159959831398178,-1.5748189147436098,50,50,0,-54.24289114717702,FF22,P1,0.0,600,0,50
ALL,0.2705804024393434,0.6320905328473214,-1.307185988486928,50,50,0,-48.01079457789336,FFext,P1,0.0,600,0,50
ALL,0.1325739126095046,0.4132719292363126,-2.020614958070615,50,50,0,-26.76445328499401,NF28,P1,0.0,600,0,50
